适应度, 迭代次数, 距离之和
123533.9571949204, 3000, 1819912
123533.9571949204, 2999, 1815524
123533.9571949204, 2998, 1812662
123721.70018383837, 2997, 1808228
123721.70018383837, 2996, 1805832
123721.70018383837, 2995, 1804604
128343.4863569926, 2994, 1802344
124154.7679000742, 2993, 1798304
122819.97051588078, 2992, 1800266
122190.2863985217, 2991, 1792542
122190.2863985217, 2990, 1791266
122190.2863985217, 2989, 1790134
121995.98415556375, 2988, 1785922
121995.98415556375, 2987, 1784354
121995.98415556375, 2986, 1788436
122190.2863985217, 2985, 1790804
124637.55200366143, 2984, 1788912
121136.72913901308, 2983, 1784352
124739.51955041799, 2982, 1780418
120066.93737157094, 2981, 1779588
131751.12755430146, 2980, 1772584
127095.72086734003, 2979, 1774164
130252.49893990009, 2978, 1769968
120563.84335213306, 2977, 1775670
120563.84335213306, 2976, 1771984
120563.84335213306, 2975, 1764064
123128.97174269469, 2974, 1757246
123755.76783534164, 2973, 1758370
120591.674370838, 2972, 1750352
120591.674370838, 2971, 1744324
120591.674370838, 2970, 1747652
120591.674370838, 2969, 1741450
120591.674370838, 2968, 1739288
120591.674370838, 2967, 1739012
120591.674370838, 2966, 1726958
120591.674370838, 2965, 1726028
120591.674370838, 2964, 1714682
115919.08945580301, 2963, 1701856
113554.90810486893, 2962, 1697096
115466.36793443216, 2961, 1690422
121103.38526955232, 2960, 1689006
113730.7797856747, 2959, 1687892
113730.7797856747, 2958, 1686678
114318.1968081271, 2957, 1682190
117363.98189212446, 2956, 1674052
117363.98189212446, 2955, 1652828
117363.98189212446, 2954, 1647044
116423.64517289236, 2953, 1638186
118249.11915574325, 2952, 1635740
117901.35535698674, 2951, 1638736
117901.35535698674, 2950, 1635616
117901.35535698674, 2949, 1644096
117901.35535698674, 2948, 1643718
117071.39216164162, 2947, 1643924
111359.01527234049, 2946, 1629808
111359.01527234049, 2945, 1633778
111359.01527234049, 2944, 1634198
111359.01527234049, 2943, 1624868
111359.01527234049, 2942, 1613228
111359.01527234049, 2941, 1610320
111359.01527234049, 2940, 1606176
111359.01527234049, 2939, 1615742
111359.01527234049, 2938, 1596456
111359.01527234049, 2937, 1590540
108604.31354898, 2936, 1576970
108604.31354898, 2935, 1546628
108604.31354898, 2934, 1524560
108604.31354898, 2933, 1498706
108618.5171903044, 2932, 1504004
109059.23263890132, 2931, 1483790
107804.41864738667, 2930, 1468746
107804.41864738667, 2929, 1427620
107059.35223672914, 2928, 1411434
107804.41864738667, 2927, 1397624
107804.41864738667, 2926, 1426794
107804.41864738667, 2925, 1410864
107804.41864738667, 2924, 1411450
107804.41864738667, 2923, 1400192
107804.41864738667, 2922, 1406396
107804.41864738667, 2921, 1394648
111031.4840865089, 2920, 1382108
111031.4840865089, 2919, 1377420
111031.4840865089, 2918, 1366474
106798.89116025795, 2917, 1337532
109791.58378060767, 2916, 1341102
110966.2760141214, 2915, 1314848
110876.04578223456, 2914, 1309224
110966.2760141214, 2913, 1307108
110334.69686808303, 2912, 1299640
110966.2760141214, 2911, 1277468
110876.02369941976, 2910, 1279212
110876.02369941976, 2909, 1277572
112431.93949104619, 2908, 1265094
110530.67192095485, 2907, 1230706
111041.52943289602, 2906, 1208484
112468.66693924258, 2905, 1222858
110876.02369941976, 2904, 1218666
109215.11380024014, 2903, 1202452
112176.7300365415, 2902, 1192314
110651.44150491868, 2901, 1171640
113039.0482032647, 2900, 1163922
