适应度, 迭代次数, 距离之和
129970.10778929446, 3000, 1819408
129739.68203775692, 2999, 1809120
129970.10778929446, 2998, 1799126
134953.97447827534, 2997, 1788850
134953.97447827534, 2996, 1773720
132931.6463030928, 2995, 1757836
134910.73707680614, 2994, 1742110
134525.94118128263, 2993, 1726042
134910.73707680614, 2992, 1690600
134162.88549928178, 2991, 1678096
130900.16135817405, 2990, 1681502
132211.83549574678, 2989, 1678514
132211.83549574678, 2988, 1666762
130656.98403002098, 2987, 1629596
131435.89870544182, 2986, 1629390
131165.70471265577, 2985, 1613156
132211.83549574678, 2984, 1609692
131520.47878325926, 2983, 1606034
129269.87490466985, 2982, 1597606
133578.94520601706, 2981, 1562056
129190.01293737235, 2980, 1554266
129190.01293737235, 2979, 1557694
129190.01293737235, 2978, 1542554
130418.0005560156, 2977, 1552916
129550.0830746384, 2976, 1567448
129550.0830746384, 2975, 1551806
129550.0830746384, 2974, 1560070
127754.83088297806, 2973, 1574018
129550.0830746384, 2972, 1593214
129550.0830746384, 2971, 1570852
126604.53278123014, 2970, 1585468
128480.40339334721, 2969, 1595858
125584.45860976289, 2968, 1587448
113262.71202492113, 2967, 1567598
123698.03377581415, 2966, 1551314
123698.03377581415, 2965, 1547806
128478.51682271845, 2964, 1529422
128478.51682271845, 2963, 1530702
127485.83881276648, 2962, 1472248
127485.83881276648, 2961, 1497122
127485.83881276648, 2960, 1491620
125956.22703133458, 2959, 1474294
127318.51406675017, 2958, 1455432
124262.73435659659, 2957, 1460312
124262.73435659659, 2956, 1448226
124262.73435659659, 2955, 1404838
123544.05873298761, 2954, 1409722
124154.73876159085, 2953, 1373314
124154.73876159085, 2952, 1425902
123598.37163286934, 2951, 1388594
123598.37163286934, 2950, 1414330
122924.97918755592, 2949, 1429056
123497.16103497348, 2948, 1394472
123497.16103497348, 2947, 1414488
123497.16103497348, 2946, 1379400
123665.03234126032, 2945, 1327386
123665.03234126032, 2944, 1306066
124792.8425083843, 2943, 1312660
119727.6336550637, 2942, 1282562
119727.6336550637, 2941, 1409412
123751.85790719464, 2940, 1413282
123684.88000919406, 2939, 1398076
123751.85790719464, 2938, 1411496
120894.54211231657, 2937, 1383022
123268.27487636577, 2936, 1372000
120496.19614494112, 2935, 1340370
115991.53224730787, 2934, 1358142
120551.16894846386, 2933, 1342390
121819.25611178079, 2932, 1336376
123990.895094834, 2931, 1379038
123990.895094834, 2930, 1381210
123990.895094834, 2929, 1432332
123011.63770126211, 2928, 1429078
123664.14264580295, 2927, 1427806
122507.5385750052, 2926, 1415304
121729.1007900344, 2925, 1421348
121330.59991438796, 2924, 1457730
122507.5385750052, 2923, 1416852
124124.43532716842, 2922, 1446604
125706.24702311134, 2921, 1434454
122283.6769976675, 2920, 1407978
122283.6769976675, 2919, 1386684
124494.5740931271, 2918, 1412562
124472.65528484306, 2917, 1413748
123301.4042623702, 2916, 1371362
124279.47261906353, 2915, 1348124
118507.32355003718, 2914, 1302654
118507.32355003718, 2913, 1268520
118507.32355003718, 2912, 1311848
118507.32355003718, 2911, 1341722
122210.83277686837, 2910, 1373468
121981.76548887092, 2909, 1357924
121941.9977648047, 2908, 1360300
119852.9976950956, 2907, 1359508
119852.9976950956, 2906, 1345782
119852.9976950956, 2905, 1374472
119852.9976950956, 2904, 1368710
119852.9976950956, 2903, 1387056
117155.68869897551, 2902, 1412282
119732.95870631878, 2901, 1400006
116716.18723815824, 2900, 1363808
114271.00589454392, 2899, 1358274
118196.42017941305, 2898, 1296488
117235.47093268315, 2897, 1238298
116251.33785334398, 2896, 1249592
116251.33785334398, 2895, 1228416
119024.83212109472, 2894, 1252498
119024.83212109472, 2893, 1237524
117764.47228541048, 2892, 1226266
113284.55174129592, 2891, 1190270
119765.62914843953, 2890, 1259244
117172.56945361277, 2889, 1240710
117172.56945361277, 2888, 1192710
117172.56945361277, 2887, 1258144
116370.98455991986, 2886, 1167466
115342.2426489171, 2885, 1082842
115839.33997672214, 2884, 1063374
113741.22116718101, 2883, 1098322
116923.47913402806, 2882, 1082738
116855.69336561635, 2881, 1005320
114665.29268297806, 2880, 974162
114665.29268297806, 2879, 1039640
116265.00349954002, 2878, 1019462
117004.08748294359, 2877, 1029204
113831.02341961818, 2876, 1063778
113831.02341961818, 2875, 1007510
113831.02341961818, 2874, 1009416
113831.02341961818, 2873, 975180
113107.53523257966, 2872, 932940
110712.83977676716, 2871, 916658
113107.53523257966, 2870, 914172
113107.53523257966, 2869, 936374
112801.55248298321, 2868, 954258
112801.55248298321, 2867, 910890
112474.15944245305, 2866, 977980
109695.23108751615, 2865, 928300
111046.11471567783, 2864, 918314
111042.59445649954, 2863, 963000
111046.11471567783, 2862, 1017454
112741.87640115178, 2861, 1017538
115395.6451622899, 2860, 1006094
112734.47647902108, 2859, 964956
113104.51043406091, 2858, 881716
113104.51043406091, 2857, 883388
114984.8931841415, 2856, 928178
114984.8931841415, 2855, 930376
114990.31445540664, 2854, 930838
112068.19139463086, 2853, 949828
112068.19139463086, 2852, 953180
112068.19139463086, 2851, 961336
108812.52963237738, 2850, 884598
108812.52963237738, 2849, 931736
112068.19139463086, 2848, 907840
110026.21395340627, 2847, 970294
108345.99619565412, 2846, 1024536
108849.68935976991, 2845, 1138518
110026.21395340627, 2844, 1164240
108870.41896066527, 2843, 1125420
107635.04675235148, 2842, 1091444
107635.04675235148, 2841, 1132214
107635.04675235148, 2840, 1153510
107635.04675235148, 2839, 1141262
107635.04675235148, 2838, 1120412
107635.04675235148, 2837, 1114182
107635.04675235148, 2836, 1101918
107635.04675235148, 2835, 1086322
106620.95132721559, 2834, 1043176
107583.3847596589, 2833, 953696
106473.38461342793, 2832, 995716
106090.7233862688, 2831, 955794
106430.26929613604, 2830, 998904
