适应度, 迭代次数, 距离之和
127633.69577459228, 3000, 1822122
133086.9171768343, 2999, 1813452
132232.64683663571, 2998, 1807183
120870.26427553603, 2997, 1800570
120870.26427553603, 2996, 1799783
117021.72301812156, 2995, 1795613
117021.72301812156, 2994, 1796096
116640.88198886233, 2993, 1793350
115292.2939390823, 2992, 1793102
115292.2939390823, 2991, 1792545
115292.2939390823, 2990, 1790710
115292.2939390823, 2989, 1789315
123443.7886935106, 2988, 1791971
118471.87904707751, 2987, 1789184
118471.87904707751, 2986, 1787768
120930.32699901208, 2985, 1787816
120930.32699901208, 2984, 1788318
120317.2549227578, 2983, 1791104
120769.95712234007, 2982, 1790113
120769.95712234007, 2981, 1790437
116397.24070235882, 2980, 1790922
116925.25605365644, 2979, 1790269
106850.78423177185, 2978, 1788454
106850.78423177185, 2977, 1789521
106850.78423177185, 2976, 1788982
106850.78423177185, 2975, 1786012
106850.78423177185, 2974, 1787547
106850.78423177185, 2973, 1780967
106850.78423177185, 2972, 1776343
106850.78423177185, 2971, 1778140
106850.78423177185, 2970, 1779806
106850.78423177185, 2969, 1774432
106850.78423177185, 2968, 1769344
112902.32611702374, 2967, 1773328
113849.19639262547, 2966, 1768428
115297.23537644438, 2965, 1769441
116408.92171023058, 2964, 1772355
116393.38520808998, 2963, 1771955
116393.38520808998, 2962, 1770897
121274.78711371045, 2961, 1768864
120660.7737092369, 2960, 1771086
119146.20980563828, 2959, 1767962
115423.43202975749, 2958, 1766073
115423.43202975749, 2957, 1763356
115478.85515647318, 2956, 1767011
115478.85515647318, 2955, 1778586
115702.66748999665, 2954, 1784439
115702.66748999665, 2953, 1784644
115702.66748999665, 2952, 1785622
114035.33413284425, 2951, 1786968
114035.33413284425, 2950, 1786678
115702.66748999665, 2949, 1787329
115702.66748999665, 2948, 1788827
121365.64548626391, 2947, 1784960
119451.75852704479, 2946, 1785872
119451.75852704479, 2945, 1782658
119451.75852704479, 2944, 1785225
119451.75852704479, 2943, 1786227
114391.73876586996, 2942, 1785771
119451.75852704479, 2941, 1788602
122124.0600186111, 2940, 1788043
122124.0600186111, 2939, 1789045
118874.45818675063, 2938, 1787835
118874.45818675063, 2937, 1788129
118874.45818675063, 2936, 1789280
124940.13051622342, 2935, 1789655
124940.13051622342, 2934, 1785849
120807.02927662821, 2933, 1790694
