适应度, 迭代次数, 距离之和
127026.5995889261, 3000, 1821294
123189.66997576962, 2999, 1813420
125626.48533339033, 2998, 1812856
128107.34737626728, 2997, 1806952
121870.03662101255, 2996, 1801681
121870.03662101255, 2995, 1798307
121870.03662101255, 2994, 1798895
121870.03662101255, 2993, 1797272
129040.8305774158, 2992, 1798932
120037.39962658528, 2991, 1796319
126061.87285714461, 2990, 1796608
121714.1730352235, 2989, 1794759
121714.1730352235, 2988, 1792972
121714.1730352235, 2987, 1790269
121714.1730352235, 2986, 1792722
121505.28843644008, 2985, 1793987
117096.03622640608, 2984, 1796990
121452.22891797854, 2983, 1794669
121505.28843644008, 2982, 1794597
121458.04987417029, 2981, 1793132
121458.04987417029, 2980, 1791117
121458.04987417029, 2979, 1793818
121458.04987417029, 2978, 1794298
119144.11804764513, 2977, 1796546
119144.11804764513, 2976, 1790996
115083.80716928758, 2975, 1786558
117772.07504563841, 2974, 1790880
122009.98671894091, 2973, 1790684
118043.2866867645, 2972, 1790746
111739.00251037991, 2971, 1788022
122760.49207494267, 2970, 1787514
115925.330665466, 2969, 1786323
116453.41265291572, 2968, 1783688
112744.60149010095, 2967, 1787752
120478.30723056318, 2966, 1784933
121275.01693846878, 2965, 1779440
119301.92301003568, 2964, 1777253
121275.01693846878, 2963, 1779274
121577.30032618859, 2962, 1782329
115930.58932190649, 2961, 1780753
113356.90250908151, 2960, 1778424
113356.90250908151, 2959, 1781071
115155.69725763568, 2958, 1781110
116401.16149547712, 2957, 1781320
118030.42509892903, 2956, 1781122
121834.58398615434, 2955, 1781478
122063.14239125098, 2954, 1778244
121999.04169800924, 2953, 1779823
121999.04169800924, 2952, 1779354
121999.04169800924, 2951, 1783941
116550.28525462585, 2950, 1784369
109577.24724892278, 2949, 1783641
122794.63054081981, 2948, 1782408
121292.16647656568, 2947, 1779592
118284.58407129081, 2946, 1777568
118284.58407129081, 2945, 1778438
121054.56079576259, 2944, 1775783
117961.44115104341, 2943, 1775037
116544.10794939303, 2942, 1773715
121269.66707133125, 2941, 1773444
121269.66707133125, 2940, 1770941
124336.01470744085, 2939, 1771910
116369.69980461773, 2938, 1770479
122077.22969063288, 2937, 1770146
120682.32982644503, 2936, 1764162
116401.92394241283, 2935, 1762628
119161.667851515, 2934, 1763388
110978.59216033596, 2933, 1768977
110978.59216033596, 2932, 1770293
110978.59216033596, 2931, 1770527
110978.59216033596, 2930, 1764245
110688.35502562884, 2929, 1763935
116126.07400953016, 2928, 1761414
116126.07400953016, 2927, 1757480
116126.07400953016, 2926, 1753200
121547.90328103268, 2925, 1760772
104473.0791052254, 2924, 1750659
104473.0791052254, 2923, 1759222
108578.881250398, 2922, 1756159
108556.72080283792, 2921, 1759763
108556.72080283792, 2920, 1750626
108556.72080283792, 2919, 1751025
107110.3889838763, 2918, 1746736
108556.72080283792, 2917, 1749648
109695.43048393884, 2916, 1753863
119459.926279326, 2915, 1746328
115457.13036800946, 2914, 1751093
119153.57334940512, 2913, 1748982
119153.57334940512, 2912, 1744307
119091.69696980539, 2911, 1752072
116774.01656433521, 2910, 1755416
119552.5817204121, 2909, 1765790
120265.85313451682, 2908, 1769770
115650.54922315113, 2907, 1768974
123920.71958281078, 2906, 1772566
126657.15549043454, 2905, 1770275
116725.5129663702, 2904, 1769084
113454.76318157231, 2903, 1768541
113454.76318157231, 2902, 1769439
113454.76318157231, 2901, 1766771
113454.76318157231, 2900, 1770633
117337.38681645834, 2899, 1770413
115774.71709236018, 2898, 1772157
115178.63773940627, 2897, 1773825
117337.38681645834, 2896, 1771772
114247.3804958149, 2895, 1767417
122450.3127698858, 2894, 1768111
119798.28574764455, 2893, 1773702
125181.8978223979, 2892, 1768389
109873.42627656215, 2891, 1770889
109873.42627656215, 2890, 1773214
115010.39155935036, 2889, 1773121
121541.57899428322, 2888, 1767623
120737.22134414424, 2887, 1767840
116432.68980312886, 2886, 1771353
116432.68980312886, 2885, 1766329
116432.68980312886, 2884, 1774650
110888.22618832221, 2883, 1774994
116063.95788325647, 2882, 1770787
116063.95788325647, 2881, 1770157
113318.79326336498, 2880, 1771850
113433.71582722696, 2879, 1770327
116063.95788325647, 2878, 1766924
112050.29385926691, 2877, 1765871
112050.29385926691, 2876, 1772377
115229.63986710385, 2875, 1774618
115229.63986710385, 2874, 1774580
118321.456562888, 2873, 1771295
119224.04944553348, 2872, 1768400
118307.58949073487, 2871, 1769264
118623.00959522386, 2870, 1773022
120583.03282559018, 2869, 1772214
120583.03282559018, 2868, 1774098
118051.42751316556, 2867, 1776491
122201.64619365752, 2866, 1779266
122201.64619365752, 2865, 1778314
121220.1675405742, 2864, 1775238
117173.1582009755, 2863, 1773270
117173.1582009755, 2862, 1772613
117173.1582009755, 2861, 1767577
122532.34921389174, 2860, 1764173
117332.47821171673, 2859, 1766153
119934.16210403998, 2858, 1764355
119934.16210403998, 2857, 1761308
119934.16210403998, 2856, 1768544
119934.16210403998, 2855, 1769049
119934.16210403998, 2854, 1767912
119934.16210403998, 2853, 1768798
115387.67761711756, 2852, 1775067
115387.67761711756, 2851, 1775564
116045.22611175789, 2850, 1773490
114980.3809911549, 2849, 1760402
116045.22611175789, 2848, 1768805
116045.22611175789, 2847, 1769267
117056.3896758872, 2846, 1769932
115365.06701033136, 2845, 1769137
119460.31145488448, 2844, 1768162
112887.0766325496, 2843, 1766404
119460.31145488448, 2842, 1765951
115133.00515921891, 2841, 1770853
116639.51666854828, 2840, 1772947
116639.51666854828, 2839, 1771659
116829.51106993864, 2838, 1772031
118001.21488674755, 2837, 1772850
118001.21488674755, 2836, 1776029
112150.89927556877, 2835, 1780047
112150.89927556877, 2834, 1777942
115126.76290866635, 2833, 1777674
120053.13949565744, 2832, 1776971
117298.63534187325, 2831, 1773271
120012.05537199153, 2830, 1771329
121139.52148912281, 2829, 1774740
121139.52148912281, 2828, 1767778
121139.52148912281, 2827, 1771052
121139.52148912281, 2826, 1775985
121139.52148912281, 2825, 1774069
119835.64447921059, 2824, 1775492
121642.49317773228, 2823, 1768013
125392.39353865497, 2822, 1772206
125392.39353865497, 2821, 1775289
128626.1251376686, 2820, 1774233
126416.1440092833, 2819, 1774615
121748.74956921315, 2818, 1770522
121748.74956921315, 2817, 1771533
123147.71490917254, 2816, 1774288
115879.66507228604, 2815, 1775572
120930.69680451033, 2814, 1771026
120168.26673532986, 2813, 1768464
121152.23879192703, 2812, 1772642
124359.15018030941, 2811, 1775946
126451.14944898961, 2810, 1773506
124692.60688770529, 2809, 1769900
127819.7003055554, 2808, 1772895
128269.05552797728, 2807, 1771563
121831.41954886775, 2806, 1772103
121795.53903724055, 2805, 1776696
120841.01105307006, 2804, 1776900
120841.01105307006, 2803, 1771342
122554.53245543795, 2802, 1769281
122554.53245543795, 2801, 1772419
122554.53245543795, 2800, 1773710
121970.38834353111, 2799, 1774772
117383.70331194435, 2798, 1780089
116142.35758192485, 2797, 1772178
116142.35758192485, 2796, 1774042
116142.35758192485, 2795, 1775129
118938.45874001316, 2794, 1771502
118938.45874001316, 2793, 1775135
120805.39206366491, 2792, 1772490
122100.57595769549, 2791, 1775786
122100.57595769549, 2790, 1768118
122100.57595769549, 2789, 1776594
121806.22584484395, 2788, 1774446
123505.34360345284, 2787, 1776465
123526.00177626412, 2786, 1779910
123526.00177626412, 2785, 1773710
123526.00177626412, 2784, 1768937
123526.00177626412, 2783, 1768540
